catalog_id,recipe_name,style,meal_type,dish_type,image_path,total_calories,total_mass,total_fat,total_carb,total_protein
catalog_0,Steak Frites with Rosemary Duck Fat Fries,french,"[""lunch/dinner""]",['main course'],data/catalog/images/catalog_0/rgb.png,257.09800000029276,47.36853893826162,25.3036400000038,8.56202000007466,1.6333000000121327
catalog_1,Basil Noodles Recipe 5,asian,"[""lunch/dinner""]",['main course'],data/catalog/images/catalog_1/rgb.png,204.49125,77.11672798824999,3.1418625,35.9811,6.978
catalog_2,Slow Cooker Breakfast Casserole recipes,italian,"[""breakfast""]",['main course'],data/catalog/images/catalog_2/rgb.png,1040.5811789722222,633.804434861111,75.4417985325139,38.74049519543055,50.64688466368055
catalog_3,Recipe: Carla Hall’s Salmon Patties,nordic,"[""lunch/dinner""]",['main course'],data/catalog/images/catalog_3/rgb.png,212.36129916434166,88.54520423289769,15.175622403461796,2.146626225039203,15.818564216568225
catalog_4,Classic Slaw recipes,american,"[""lunch/dinner""]",['salad'],data/catalog/images/catalog_4/rgb.png,474.358941419993,292.82037635204927,44.1867784567361,18.33419818051791,3.9599150749999423
catalog_5,Cucumber Dill Salsa Cruda,mexican,"[""lunch/dinner""]",['salad'],data/catalog/images/catalog_5/rgb.png,45.5056875,195.35096246842784,0.45472,11.60379875,1.90884625
catalog_6,Quick Lemon Balsamic Basil Chicken Pasta recipes,italian,"[""lunch/dinner""]",['main course'],data/catalog/images/catalog_6/rgb.png,226.2220000001815,143.0154513890597,3.648066666666667,29.913816666715864,17.941528750000185
catalog_7,Lime and Cilantro Cauliflower with Avocado,american,"[""lunch/dinner""]",['main course'],data/catalog/images/catalog_7/rgb.png,207.96400000000003,215.35416666666666,13.632690000000002,11.617393749999998,12.6945
catalog_8,Chicken Ham & Swiss Waffles (low carb) recipes,french,"[""breakfast""]",['main course'],data/catalog/images/catalog_8/rgb.png,123.98596073125,49.57956828125,9.055342633750003,0.833053953609375,9.4893177096875
catalog_9,Cloud Eggs on Toast,american,"[""breakfast""]",['starter'],data/catalog/images/catalog_9/rgb.png,181.86978515781774,86.669921875389,8.622783984504546,14.393476367200606,11.159412109464085
catalog_10,Kicked-Up Western Mac,american,"[""lunch/dinner""]",['main course'],data/catalog/images/catalog_10/rgb.png,597.9324913820313,228.184221484375,29.20486637509375,55.46715221590625,29.0217732176797
catalog_11,Chipped Beef Log Recipe,american,"[""snack""]",['main course'],data/catalog/images/catalog_11/rgb.png,168.10155908203126,56.6915616015625,15.945435661972663,2.884243497671875,4.421469733125002
catalog_12,Tony's Stuffed Mushrooms,french,"[""lunch/dinner""]",['main course'],data/catalog/images/catalog_12/rgb.png,500.794326003125,297.6699928125,45.5831982326875,9.3014785373125,17.49732567275
