run_dir,policy,num_days,meals_per_day,horizon,seed,total_timesteps,nga_mean,nga_std,dds_mean,dds_std,pa_mean,pa_std,edc_mean,edc_std,return_mean,return_std
runs/agent_three_component_2/h1_seed42,DQN,1,3,3,42,200000,1.0,0.0,0.9631068638451004,0.08771440414176224,0.5040532745637704,0.027209880488562755,0.9695402027274266,0.01306135523312029,3.5341228457203,0.14683945074034685
runs/agent_three_component_2/h1_seed42,HealthGreedy,1,3,3,42,200000,1.0,0.0,0.9281767868747315,0.13079797109575353,0.46852754221593385,0.026069405375649717,0.9600402515717038,0.016107728191438585,3.003309417254736,0.2030280809349364
runs/agent_three_component_2/h1_seed42,MultiObjectiveGreedy,1,3,3,42,200000,0.5,0.5,0.9775955341551101,0.05404679250736615,0.6156892795111647,0.02580887867621619,0.8731116669812569,0.09726575497320675,3.2531334939410628,0.3796734130181265
runs/agent_three_component_2/h1_seed42,Random,1,3,3,42,200000,0.0125,0.11110243021644486,0.9822166120156606,0.05816176443940336,0.46861806133410794,0.026252464198230647,0.4414103707728394,0.2024666726798514,1.6008391452710806,0.3296926443408191
runs/agent_three_component_2/h21_seed42,DQN,21,3,63,42,200000,0.961309523809524,0.06074637340686412,0.8699489943166689,0.03778347278457039,0.4860300627082424,0.017763462022269746,0.9714717100977441,0.009070984675658608,58.95798417868874,1.589952919122804
runs/agent_three_component_2/h21_seed42,HealthGreedy,21,3,63,42,200000,1.0,0.0,0.6287648970681813,0.08860507845988681,0.46852754221593385,0.026069405375649706,0.9600402515715565,0.016107728191503305,50.11501794245325,4.097363896632943
runs/agent_three_component_2/h21_seed42,MultiObjectiveGreedy,21,3,63,42,200000,0.5577380952380953,0.3532481085447963,0.831464525032667,0.03736249801158193,0.6038695491085987,0.01848951386076726,0.8894226499958824,0.09319013758811917,58.88003819234784,6.070335327786374
runs/agent_three_component_2/h21_seed42,Random,21,3,63,42,200000,0.01607142857142857,0.030063943569462834,0.9916482408526891,0.0019867971151572533,0.4692716862257903,0.008592417512266777,0.4515841249539038,0.12552101601918095,29.571666373646668,2.269134533820212
runs/agent_three_component_2/h3_seed42,DQN,3,3,9,42,200000,0.9625,0.11777745020918808,0.9161575156317093,0.04642874674365576,0.49297412861332657,0.018416810719555397,0.9673890955698985,0.014473139535864661,9.214041030515066,0.3876331360159467
runs/agent_three_component_2/h3_seed42,HealthGreedy,3,3,9,42,200000,1.0,0.0,0.6961325722746551,0.0980984793029567,0.46852754221593385,0.02606940537564972,0.9600402515716008,0.016107728191483917,7.734554043323252,0.6012983445749749
runs/agent_three_component_2/h3_seed42,MultiObjectiveGreedy,3,3,9,42,200000,0.5375,0.35937349033499333,0.9060380126382139,0.04507612053048602,0.6064720037532303,0.020027155682519622,0.8868502438264141,0.09423315541767759,8.860782160446684,0.9243765115399283
runs/agent_three_component_2/h3_seed42,Random,3,3,9,42,200000,0.0125,0.06332785063987775,0.9919454927698205,0.010187682133563355,0.47180114725207944,0.0195358537861275,0.44269641557545497,0.1644912772269238,4.394222272851406,0.4741890783843873
runs/agent_three_component_2/h7_seed42,DQN,7,3,21,42,200000,0.9660714285714287,0.06079301618053289,0.8971752293875996,0.039088447208226886,0.49340140608833016,0.014559185842942838,0.9741362163518328,0.008869695409965201,20.58384290496723,0.5805411699547403
runs/agent_three_component_2/h7_seed42,HealthGreedy,7,3,21,42,200000,1.0,0.0,0.6497237293546398,0.09155858094439744,0.46852754221593396,0.026069405375649737,0.9600402515715712,0.016107728191496848,17.157034302183042,1.363670743908391
runs/agent_three_component_2/h7_seed42,MultiObjectiveGreedy,7,3,21,42,200000,0.5464285714285715,0.35698210668014707,0.8539525884546425,0.03859932289463056,0.6053809421953502,0.01844589849055449,0.8878975995895726,0.09168111258697663,19.929952339975873,2.00810042002754
runs/agent_three_component_2/h7_seed42,Random,7,3,21,42,200000,0.007142857142857143,0.031134992453861955,0.9918276518943966,0.005420716650324278,0.47020280057200614,0.011317468348862832,0.4397704432000996,0.12978158572586895,9.942308885697596,0.9370146282339407
